date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:12:49	680588/680588	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:32%20GMT	https://foxiz.themeruby.com/tech/home-3/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/home-3/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:49	688718/688718	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:33%20GMT	https://foxiz.themeruby.com/tech/home-4/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/home-4/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:49	83/83	---M--	302	error ('Found')	text/plain	date:Wed,%2008%20Feb%202023%2023:12:51%20GMT	https://foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t43-150x150.jpg	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https_/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t43-150x150.jpg	(from https://foxiz.themeruby.com/tech/)
06:12:49	705324/705324	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:23%20GMT	https://foxiz.themeruby.com/tech/category/technology/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/category/technology/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:49	4432/4432	---M--	200	added ('OK')	image/jpeg	etag:%2261c33df9-13bf%22	https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t43-150x150.jpg	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t43-150x150.jpg	(from https://foxiz.themeruby.com/tech/)
06:12:50	669152/669152	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:34%20GMT	https://foxiz.themeruby.com/tech/home-5/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/home-5/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:50	601982/601982	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:22%20GMT	https://foxiz.themeruby.com/tech/corsair-hs80-rgb-wireless-gaming-headset-review/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/corsair-hs80-rgb-wireless-gaming-headset-review/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:50	82/82	---M--	302	error ('Found')	text/plain	date:Wed,%2008%20Feb%202023%2023:12:52%20GMT	https://foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/36-150x150.jpg	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https_/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/36-150x150.jpg	(from https://foxiz.themeruby.com/tech/)
06:12:50	7205/7205	---M--	200	added ('OK')	image/jpeg	etag:%2261b0b589-1fc1%22	https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/36-150x150.jpg	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/36-150x150.jpg	(from https://foxiz.themeruby.com/tech/)
06:12:50	589365/589365	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:41%20GMT	https://foxiz.themeruby.com/tech/top-tech-trends-great-gadgets-to-help-you/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/top-tech-trends-great-gadgets-to-help-you/index.html	(from https://foxiz.themeruby.com/tech/)
